읍면동,종합라벨,시장,추천종목_1,추천종목_2,추천종목_3,추천종목_4,추천종목_5,region_id,stock_ids
가남읍,중장년균형형_운수 및 창고업,국장,삼성전자,SK하이닉스,카카오,네이버,LG에너지솔루션,1119,"[1, 2, 76, 85, 4]"
가남읍,중장년균형형_운수 및 창고업,미장,Apple,Microsoft,Nvidia,Amazon,Alphabet,1119,[]
가능동,청년성장형_도매 및 소매업,미장,Costco,Dollar Tree,Apple,Microsoft,Nvidia,751,[]
가능동,청년성장형_도매 및 소매업,국장,롯데쇼핑,GS리테일,BGF리테일,삼성전자,SK하이닉스,751,"[44, 54, 62, 1, 2]"
가락1동,청년성장형_도매 및 소매업,국장,롯데쇼핑,GS리테일,BGF리테일,삼성전자,SK하이닉스,477,"[44, 54, 62, 1, 2]"
가락1동,청년성장형_도매 및 소매업,미장,Costco,Dollar Tree,Apple,Microsoft,Nvidia,477,[]
가락2동,청년성장형_도매 및 소매업,국장,롯데쇼핑,GS리테일,BGF리테일,삼성전자,SK하이닉스,478,"[44, 54, 62, 1, 2]"
가락2동,청년성장형_도매 및 소매업,미장,Costco,Dollar Tree,Apple,Microsoft,Nvidia,478,[]
가락본동,청년성장형_도매 및 소매업,미장,Costco,Dollar Tree,Apple,Microsoft,Nvidia,476,[]
가락본동,청년성장형_도매 및 소매업,국장,롯데쇼핑,GS리테일,BGF리테일,삼성전자,SK하이닉스,476,"[44, 54, 62, 1, 2]"
가리봉동,중장년균형형_도매 및 소매업,미장,Ross Stores,Apple,Microsoft,Nvidia,Amazon,355,[]
가리봉동,중장년균형형_도매 및 소매업,국장,현대백화점,삼성전자,SK하이닉스,카카오,네이버,355,"[46, 1, 2, 76, 85]"
가산동,청년성장형_도매 및 소매업,미장,Costco,Dollar Tree,Apple,Microsoft,Nvidia,358,[]
가산동,청년성장형_도매 및 소매업,국장,롯데쇼핑,GS리테일,BGF리테일,삼성전자,SK하이닉스,358,"[44, 54, 62, 1, 2]"
가산면,중장년균형형_제조업,미장,Apple,Microsoft,Nvidia,Amazon,Alphabet,1108,[]
가산면,중장년균형형_제조업,국장,포스코홀딩스,삼성전자,SK하이닉스,카카오,네이버,1108,"[89, 1, 2, 76, 85]"
가양1동,청년성장형_도매 및 소매업,미장,Costco,Dollar Tree,Apple,Microsoft,Nvidia,333,[]
가양1동,청년성장형_도매 및 소매업,국장,롯데쇼핑,GS리테일,BGF리테일,삼성전자,SK하이닉스,333,"[44, 54, 62, 1, 2]"
가양2동,고령안정형_도매 및 소매업,미장,Apple,Microsoft,Nvidia,Amazon,Alphabet,334,[]
가양2동,고령안정형_도매 및 소매업,국장,삼성전자,SK하이닉스,카카오,네이버,LG에너지솔루션,334,"[1, 2, 76, 85, 4]"
가양3동,청년성장형_도매 및 소매업,미장,Costco,Dollar Tree,Apple,Microsoft,Nvidia,335,[]
가양3동,청년성장형_도매 및 소매업,국장,롯데쇼핑,GS리테일,BGF리테일,삼성전자,SK하이닉스,335,"[44, 54, 62, 1, 2]"
가정1동,청년성장형_도매 및 소매업,미장,Costco,Dollar Tree,Apple,Microsoft,Nvidia,616,[]
가정1동,청년성장형_도매 및 소매업,국장,롯데쇼핑,GS리테일,BGF리테일,삼성전자,SK하이닉스,616,"[44, 54, 62, 1, 2]"
가정2동,중장년균형형_운수 및 창고업,국장,삼성전자,SK하이닉스,카카오,네이버,LG에너지솔루션,617,"[1, 2, 76, 85, 4]"
가정2동,중장년균형형_운수 및 창고업,미장,Apple,Microsoft,Nvidia,Amazon,Alphabet,617,[]
가정3동,중장년균형형_도매 및 소매업,국장,현대백화점,삼성전자,SK하이닉스,카카오,네이버,618,"[46, 1, 2, 76, 85]"
가정3동,중장년균형형_도매 및 소매업,미장,Ross Stores,Apple,Microsoft,Nvidia,Amazon,618,[]
가좌1동,중장년균형형_제조업,국장,포스코홀딩스,삼성전자,SK하이닉스,카카오,네이버,622,"[89, 1, 2, 76, 85]"
가좌1동,중장년균형형_제조업,미장,Apple,Microsoft,Nvidia,Amazon,Alphabet,622,[]
가좌2동,청년성장형_도매 및 소매업,미장,Costco,Dollar Tree,Apple,Microsoft,Nvidia,623,[]
가좌2동,청년성장형_도매 및 소매업,국장,롯데쇼핑,GS리테일,BGF리테일,삼성전자,SK하이닉스,623,"[44, 54, 62, 1, 2]"
가좌3동,중장년균형형_제조업,국장,포스코홀딩스,삼성전자,SK하이닉스,카카오,네이버,624,"[89, 1, 2, 76, 85]"
가좌3동,중장년균형형_제조업,미장,Apple,Microsoft,Nvidia,Amazon,Alphabet,624,[]
가좌4동,청년성장형_도매 및 소매업,미장,Costco,Dollar Tree,Apple,Microsoft,Nvidia,625,[]
가좌4동,청년성장형_도매 및 소매업,국장,롯데쇼핑,GS리테일,BGF리테일,삼성전자,SK하이닉스,625,"[44, 54, 62, 1, 2]"
가평읍,고령안정형_숙박 및 음식점업,미장,Apple,Microsoft,Nvidia,Amazon,Alphabet,1140,[]
가평읍,고령안정형_숙박 및 음식점업,국장,삼성전자,SK하이닉스,카카오,네이버,LG에너지솔루션,1140,"[1, 2, 76, 85, 4]"
가회동,중장년균형형_숙박 및 음식점업,국장,삼성전자,SK하이닉스,카카오,네이버,LG에너지솔루션,89,"[1, 2, 76, 85, 4]"
가회동,중장년균형형_숙박 및 음식점업,미장,Apple,Microsoft,Nvidia,Amazon,Alphabet,89,[]
간석1동,청년성장형_도매 및 소매업,미장,Costco,Dollar Tree,Apple,Microsoft,Nvidia,565,[]
간석1동,청년성장형_도매 및 소매업,국장,롯데쇼핑,GS리테일,BGF리테일,삼성전자,SK하이닉스,565,"[44, 54, 62, 1, 2]"
간석2동,청년성장형_도매 및 소매업,국장,롯데쇼핑,GS리테일,BGF리테일,삼성전자,SK하이닉스,566,"[44, 54, 62, 1, 2]"
간석2동,청년성장형_도매 및 소매업,미장,Costco,Dollar Tree,Apple,Microsoft,Nvidia,566,[]
간석3동,청년성장형_제조업,국장,삼성전자,SK하이닉스,카카오,네이버,LG에너지솔루션,567,"[1, 2, 76, 85, 4]"
간석3동,청년성장형_제조업,미장,Apple,Microsoft,Nvidia,Amazon,Alphabet,567,[]
간석4동,청년성장형_도매 및 소매업,국장,롯데쇼핑,GS리테일,BGF리테일,삼성전자,SK하이닉스,568,"[44, 54, 62, 1, 2]"
간석4동,청년성장형_도매 및 소매업,미장,Costco,Dollar Tree,Apple,Microsoft,Nvidia,568,[]
갈매동,청년성장형_도매 및 소매업,미장,Costco,Dollar Tree,Apple,Microsoft,Nvidia,900,[]
