읍면동,종합라벨,시장,추천종목_1,추천종목_2,추천종목_3,추천종목_4,추천종목_5,region_id,stock_ids
가남읍,중장년균형형_운수 및 창고업,국장,삼성전자,SK하이닉스,카카오,네이버,LG에너지솔루션,479,"[195, 196, 270, 279, 198]"
가남읍,중장년균형형_운수 및 창고업,미장,Apple,Microsoft,Nvidia,Amazon,Alphabet,479,[]
가능동,청년성장형_도매 및 소매업,미장,Costco,Dollar Tree,Apple,Microsoft,Nvidia,553,[]
가능동,청년성장형_도매 및 소매업,국장,롯데쇼핑,GS리테일,BGF리테일,삼성전자,SK하이닉스,553,"[238, 248, 256, 195, 196]"
가락1동,청년성장형_도매 및 소매업,국장,롯데쇼핑,GS리테일,BGF리테일,삼성전자,SK하이닉스,967,"[238, 248, 256, 195, 196]"
가락1동,청년성장형_도매 및 소매업,미장,Costco,Dollar Tree,Apple,Microsoft,Nvidia,967,[]
가락2동,청년성장형_도매 및 소매업,국장,롯데쇼핑,GS리테일,BGF리테일,삼성전자,SK하이닉스,968,"[238, 248, 256, 195, 196]"
가락2동,청년성장형_도매 및 소매업,미장,Costco,Dollar Tree,Apple,Microsoft,Nvidia,968,[]
가락본동,청년성장형_도매 및 소매업,미장,Costco,Dollar Tree,Apple,Microsoft,Nvidia,969,[]
가락본동,청년성장형_도매 및 소매업,국장,롯데쇼핑,GS리테일,BGF리테일,삼성전자,SK하이닉스,969,"[238, 248, 256, 195, 196]"
가리봉동,중장년균형형_도매 및 소매업,미장,Ross Stores,Apple,Microsoft,Nvidia,Amazon,794,[]
가리봉동,중장년균형형_도매 및 소매업,국장,현대백화점,삼성전자,SK하이닉스,카카오,네이버,794,"[240, 195, 196, 270, 279]"
가산동,청년성장형_도매 및 소매업,미장,Costco,Dollar Tree,Apple,Microsoft,Nvidia,810,[]
가산동,청년성장형_도매 및 소매업,국장,롯데쇼핑,GS리테일,BGF리테일,삼성전자,SK하이닉스,810,"[238, 248, 256, 195, 196]"
가산면,중장년균형형_제조업,미장,Apple,Microsoft,Nvidia,Amazon,Alphabet,627,[]
가산면,중장년균형형_제조업,국장,포스코홀딩스,삼성전자,SK하이닉스,카카오,네이버,627,"[283, 195, 196, 270, 279]"
가양1동,청년성장형_도매 및 소매업,미장,Costco,Dollar Tree,Apple,Microsoft,Nvidia,738,[]
가양1동,청년성장형_도매 및 소매업,국장,롯데쇼핑,GS리테일,BGF리테일,삼성전자,SK하이닉스,738,"[238, 248, 256, 195, 196]"
가양2동,고령안정형_도매 및 소매업,미장,Apple,Microsoft,Nvidia,Amazon,Alphabet,739,[]
가양2동,고령안정형_도매 및 소매업,국장,삼성전자,SK하이닉스,카카오,네이버,LG에너지솔루션,739,"[195, 196, 270, 279, 198]"
가양3동,청년성장형_도매 및 소매업,미장,Costco,Dollar Tree,Apple,Microsoft,Nvidia,740,[]
가양3동,청년성장형_도매 및 소매업,국장,롯데쇼핑,GS리테일,BGF리테일,삼성전자,SK하이닉스,740,"[238, 248, 256, 195, 196]"
가정1동,청년성장형_도매 및 소매업,미장,Costco,Dollar Tree,Apple,Microsoft,Nvidia,1209,[]
가정1동,청년성장형_도매 및 소매업,국장,롯데쇼핑,GS리테일,BGF리테일,삼성전자,SK하이닉스,1209,"[238, 248, 256, 195, 196]"
가정2동,중장년균형형_운수 및 창고업,국장,삼성전자,SK하이닉스,카카오,네이버,LG에너지솔루션,1210,"[195, 196, 270, 279, 198]"
가정2동,중장년균형형_운수 및 창고업,미장,Apple,Microsoft,Nvidia,Amazon,Alphabet,1210,[]
가정3동,중장년균형형_도매 및 소매업,국장,현대백화점,삼성전자,SK하이닉스,카카오,네이버,1211,"[240, 195, 196, 270, 279]"
가정3동,중장년균형형_도매 및 소매업,미장,Ross Stores,Apple,Microsoft,Nvidia,Amazon,1211,[]
가좌1동,중장년균형형_제조업,국장,포스코홀딩스,삼성전자,SK하이닉스,카카오,네이버,1212,"[283, 195, 196, 270, 279]"
가좌1동,중장년균형형_제조업,미장,Apple,Microsoft,Nvidia,Amazon,Alphabet,1212,[]
가좌2동,청년성장형_도매 및 소매업,미장,Costco,Dollar Tree,Apple,Microsoft,Nvidia,1213,[]
가좌2동,청년성장형_도매 및 소매업,국장,롯데쇼핑,GS리테일,BGF리테일,삼성전자,SK하이닉스,1213,"[238, 248, 256, 195, 196]"
가좌3동,중장년균형형_제조업,국장,포스코홀딩스,삼성전자,SK하이닉스,카카오,네이버,1214,"[283, 195, 196, 270, 279]"
가좌3동,중장년균형형_제조업,미장,Apple,Microsoft,Nvidia,Amazon,Alphabet,1214,[]
가좌4동,청년성장형_도매 및 소매업,미장,Costco,Dollar Tree,Apple,Microsoft,Nvidia,1215,[]
가좌4동,청년성장형_도매 및 소매업,국장,롯데쇼핑,GS리테일,BGF리테일,삼성전자,SK하이닉스,1215,"[238, 248, 256, 195, 196]"
가평읍,고령안정형_숙박 및 음식점업,미장,Apple,Microsoft,Nvidia,Amazon,Alphabet,83,[]
가평읍,고령안정형_숙박 및 음식점업,국장,삼성전자,SK하이닉스,카카오,네이버,LG에너지솔루션,83,"[195, 196, 270, 279, 198]"
가회동,중장년균형형_숙박 및 음식점업,국장,삼성전자,SK하이닉스,카카오,네이버,LG에너지솔루션,1062,"[195, 196, 270, 279, 198]"
가회동,중장년균형형_숙박 및 음식점업,미장,Apple,Microsoft,Nvidia,Amazon,Alphabet,1062,[]
간석1동,청년성장형_도매 및 소매업,미장,Costco,Dollar Tree,Apple,Microsoft,Nvidia,1135,[]
간석1동,청년성장형_도매 및 소매업,국장,롯데쇼핑,GS리테일,BGF리테일,삼성전자,SK하이닉스,1135,"[238, 248, 256, 195, 196]"
간석2동,청년성장형_도매 및 소매업,국장,롯데쇼핑,GS리테일,BGF리테일,삼성전자,SK하이닉스,1136,"[238, 248, 256, 195, 196]"
간석2동,청년성장형_도매 및 소매업,미장,Costco,Dollar Tree,Apple,Microsoft,Nvidia,1136,[]
간석3동,청년성장형_제조업,국장,삼성전자,SK하이닉스,카카오,네이버,LG에너지솔루션,1137,"[195, 196, 270, 279, 198]"
간석3동,청년성장형_제조업,미장,Apple,Microsoft,Nvidia,Amazon,Alphabet,1137,[]
간석4동,청년성장형_도매 및 소매업,국장,롯데쇼핑,GS리테일,BGF리테일,삼성전자,SK하이닉스,1138,"[238, 248, 256, 195, 196]"
간석4동,청년성장형_도매 및 소매업,미장,Costco,Dollar Tree,Apple,Microsoft,Nvidia,1138,[]
갈매동,청년성장형_도매 및 소매업,미장,Costco,Dollar Tree,Apple,Microsoft,Nvidia,175,[]
갈매동,청년성장형_도매 및 소매업,국장,롯데쇼핑,GS리테일,BGF리테일,삼성전자,SK하이닉스,175,"[238, 248, 256, 195, 196]"
갈산1동,청년성장형_도매 및 소매업,미장,Costco,Dollar Tree,Apple,Microsoft,Nvidia,1187,[]
갈산1동,청년성장형_도매 및 소매업,국장,롯데쇼핑,GS리테일,BGF리테일,삼성전자,SK하이닉스,1187,"[238, 248, 256, 195, 196]"
갈산2동,청년성장형_도매 및 소매업,미장,Costco,Dollar Tree,Apple,Microsoft,Nvidia,1188,[]
갈산2동,청년성장형_도매 및 소매업,국장,롯데쇼핑,GS리테일,BGF리테일,삼성전자,SK하이닉스,1188,"[238, 248, 256, 195, 196]"
갈산동,청년성장형_도매 및 소매업,미장,Costco,Dollar Tree,Apple,Microsoft,Nvidia,424,[]
갈산동,청년성장형_도매 및 소매업,국장,롯데쇼핑,GS리테일,BGF리테일,삼성전자,SK하이닉스,424,"[238, 248, 256, 195, 196]"
갈현1동,청년성장형_도매 및 소매업,미장,Costco,Dollar Tree,Apple,Microsoft,Nvidia,1046,[]
갈현1동,청년성장형_도매 및 소매업,국장,롯데쇼핑,GS리테일,BGF리테일,삼성전자,SK하이닉스,1046,"[238, 248, 256, 195, 196]"
갈현2동,청년성장형_도매 및 소매업,국장,롯데쇼핑,GS리테일,BGF리테일,삼성전자,SK하이닉스,1047,"[238, 248, 256, 195, 196]"
갈현2동,청년성장형_도매 및 소매업,미장,Costco,Dollar Tree,Apple,Microsoft,Nvidia,1047,[]
갈현동,청년성장형_도매 및 소매업,미장,Costco,Dollar Tree,Apple,Microsoft,Nvidia,133,[]
갈현동,청년성장형_도매 및 소매업,국장,롯데쇼핑,GS리테일,BGF리테일,삼성전자,SK하이닉스,133,"[238, 248, 256, 195, 196]"
